මුට්ඨී	1
විඝාසා	2
තිණා	2
භාජයුං	1
අසාමිකා	1
දාරුදකං	1
මත්තිකා	8
තිණානි	1
අවභාසිසෙය්යුං	1
සස්සාමිකං	2
චාපි	57
නීහරෙය්ය	2
තාවකාලිකං	4
චම්පා	5
රාජගහෙ	74
අජ්ජුකො	1
බාරාණසී	7
කොසම්බී	1
සාගලා	1
දළ්හිකෙන	1
චාති	159
රජකත්ථරණං	3
මහග්ඝං	7
දුස්සං	9
ආමසි	3
ඵන්දාපෙසි	1
චාවෙසි	1
චීවරෙ	27
භාජියමානෙ	1
කුසං	1
සඞ්කාමෙත්වා	2
චීවරං	247
අහොසිආපත්තිං	1
ගිජ්ඣකූටා	2
පබ්බතා	3
ඔරොහන්තා	1
සීහවිඝාසං	1
පචාපෙත්වා	3
පරිභුඤ්ජිංසු	2
තෙසං	210
සීහවිඝාසෙති	1
ඔදනීයඝරං	1
පවිසිත්වා	4
පත්තපූරං	2
ඔදනං	8
අවහරි	11
සූනාඝරං	1
මංසං	18
පීඨෙ	6
ථවිකං	2
ඉතො	49
ගණ්හන්තො	4
භවිස්සාමීති	7
පීඨකෙන	1
භිසිං	7
චීවරවංසෙ	1
පුප්ඵාරාමං	2
ඔචිතං	1
පුප්ඵං	2
පඤ්චමාසග්ඝනකං	4
පුප්ඵානි	1
ඔචිනිත්වා	1
පාසෙ	2
බද්ධං	4
සූකරං	3
කාරුඤ්ඤෙන	2
මුඤ්චි	2
කිඤ්චිත්තො	2
කාරුඤ්ඤාධිප්පායො	1
භගවාති	15
කාරුඤ්ඤාධිප්පායස්සාති	1
පුරෙ	40
සාමිකා	4
පස්සන්තීති	1
යානෙ	3
අතික්කමිත්වා	2
පවට්ටෙත්වා	1
කුලලෙන	1
උක්ඛිත්තං	6
මංසපෙසිං	2
සාමිකානං	1
දස්සාමීති	5
චොදෙසුං	1
අස්සමණොසි	3
ත්වන්ති	4
අථෙය්යචිත්තස්සාති	1
සප්පිකුම්භිං	1
ථොකං	3
පරිභුඤ්ජි	2
සාවත්ථියං	182
ආපණිකස්ස	2
තණ්ඩුලමුට්ඨිං	1
මුග්ගමුට්ඨිං	1
මාසමුට්ඨිං	1
තිලමුට්ඨිං	1
තිණක්ඛෙත්තං	2
ලූනං	1
තිණං	10
ලායිත්වා	3
පුඤ්ජකිතං	1
ඣාපෙසි	1
මඤ්චං	20
උපොසථග්ගම්පි	2
සන්නිසජ්ජම්පි	2
හරිතුං	2
කුක්කුච්චායන්තා	13
ඡමායං	13
නිසීදන්ති	19
ගත්තානිපි	3
